,feeding.mode,gape.width,buccal.length
Acantharchus_pomotis,pisc,0.114,-0.009
Lepomis_gibbosus,non,-0.133,-0.009
Lepomis_microlophus,non,-0.151,0.012
Lepomis_punctatus,non,-0.103,-0.019
Lepomis_miniatus,non,-0.134,0.001
Lepomis_auritus,non,-0.222,-0.039
Lepomis_marginatus,non,-0.187,-0.075
Lepomis_megalotis,non,-0.073,-0.049
Lepomis_humilis,non,0.024,-0.027
Lepomis_macrochirus,non,-0.191,0.002
Lepomis_gulosus,pisc,0.131,0.122
Lepomis_symmetricus,non,0.013,-0.025
Lepomis_cyanellus,pisc,-0.002,-0.009
Micropterus_coosae,pisc,0.045,-0.009
Micropterus_notius,pisc,0.097,-0.009
Micropterus_treculi,pisc,0.056,0.001
Micropterus_salmoides,pisc,0.056,-0.059
Micropterus_floridanus,pisc,0.096,0.051
Micropterus_punctulatus,pisc,0.092,0.002
Micropterus_dolomieu,pisc,0.035,-0.069
Centrarchus_macropterus,non,-0.007,-0.055
Enneacantus_obesus,non,0.016,-0.005
Pomoxis_annularis,pisc,-0.004,-0.019
Pomoxis_nigromaculatus,pisc,0.105,0.041
Archolites_interruptus,pisc,-0.024,0.051
Ambloplites_ariommus,pisc,0.135,0.123
Ambloplites_rupestris,pisc,0.086,0.041
Ambloplites_cavifrons,pisc,0.13,0.04
