id,species,length,group,VNE,group.num,group
3,S. carmeli,179495747,fused,4.41,3,fused
5,S. carmeli,164882176,prefused,4.12,2,prefused
7,S. carmeli,134475378,prefused,4.2,2,prefused
10,S. carmeli,126139176,prefused,4.43,2,prefused
16,S. carmeli,99594023,prefused,3.05,2,prefused
17,S. carmeli,95232560,prefused,3.73,2,prefused
21,S. carmeli,81629647,prefused,3.47,2,prefused
23,S. carmeli,76248274,prefused,3.28,2,prefused
26,S. carmeli,68151154,prefused,3.42,2,prefused
30,S. galili,244431371,fused,6.08,3,fused
31,S. galili,233329832,fused,6.02,3,fused
34,S. galili,213134496,fused,6.07,3,fused
36,S. galili,152152224,fused,5.31,3,fused
45,S. galili,93624607,prefused,3.77,2,prefused
51,S. galili,72263856,prefused,3.81,2,prefused
56,S. golani,237790874,fused,6.58,3,fused
58,S. golani,214678479,fused,6.69,3,fused
61,S. golani,169026986,prefused,6.17,2,prefused
62,S. golani,158021039,fused,5.83,3,fused
71,S. golani,94692990,prefused,5.23,2,prefused
73,S. golani,85400491,prefused,5.09,2,prefused
78,S. golani,67015314,prefused,5.2,2,prefused
85,S. judaei,179945578,prefused,3.48,2,prefused
87,S. judaei,147218251,prefused,3.14,2,prefused
90,S. judaei,128612282,prefused,3.39,2,prefused
97,S. judaei,97327671,prefused,2.86,2,prefused
98,S. judaei,90512940,prefused,2.91,2,prefused
99,S. judaei,83674142,prefused,3.04,2,prefused
101,S. judaei,81488451,prefused,3.16,2,prefused
104,S. judaei,76358854,prefused,2.77,2,prefused
107,S. judaei,75183050,prefused,3.14,2,prefused
108,S. judaei,70894103,prefused,2.78,2,prefused
